target_id,obs_id,source_dataset,source_group_id,area,date,reference_time,timestamp_source,role,selection_rank,granule_name,acquisition_start,delta_h,scene_coverage_ratio,coverage_set_ratio,coverage_complete,download_group_key,aoi_buffer_km,association_count
S1_S1A_IW_SLC__1SDV_20181024T113716_20181024T113746_024277_02A836_7D74:scene,S1_S1A_IW_SLC__1SDV_20181024T113716_20181024T113746_024277_02A836_7D74,deduplicated_global_s1,S1A_IW_SLC__1SDV_20181024T113716_20181024T113746_024277_02A836_7D74,Global_S1,2018-10-24,2018-10-24T11:37:16Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20181024T113716_20181024T113746_024277_02A836_7D74.SAFE,2018-10-24T11:37:16Z,0,1,1,True,S1A_IW_SLC__1SDV_20181024T113716_20181024T113746_024277_02A836_7D74,30.0,1
S1_S1A_IW_SLC__1SDV_20181024T113744_20181024T113812_024277_02A836_EC6E:scene,S1_S1A_IW_SLC__1SDV_20181024T113744_20181024T113812_024277_02A836_EC6E,deduplicated_global_s1,S1A_IW_SLC__1SDV_20181024T113744_20181024T113812_024277_02A836_EC6E,Global_S1,2018-10-24,2018-10-24T11:37:44Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20181024T113744_20181024T113812_024277_02A836_EC6E.SAFE,2018-10-24T11:37:44Z,0,1,1,True,S1A_IW_SLC__1SDV_20181024T113744_20181024T113812_024277_02A836_EC6E,30.0,1
S1_S1A_IW_SLC__1SDV_20181025T000626_20181025T000653_024285_02A86D_2AFA:scene,S1_S1A_IW_SLC__1SDV_20181025T000626_20181025T000653_024285_02A86D_2AFA,deduplicated_global_s1,S1A_IW_SLC__1SDV_20181025T000626_20181025T000653_024285_02A86D_2AFA,Global_S1,2018-10-25,2018-10-25T00:06:26Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20181025T000626_20181025T000653_024285_02A86D_2AFA.SAFE,2018-10-25T00:06:26Z,0,1,1,True,S1A_IW_SLC__1SDV_20181025T000626_20181025T000653_024285_02A86D_2AFA,30.0,2
S1_S1A_IW_SLC__1SDV_20181030T181758_20181030T181828_024369_02AB27_32F5:scene,S1_S1A_IW_SLC__1SDV_20181030T181758_20181030T181828_024369_02AB27_32F5,deduplicated_global_s1,S1A_IW_SLC__1SDV_20181030T181758_20181030T181828_024369_02AB27_32F5,Global_S1,2018-10-30,2018-10-30T18:17:58Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20181030T181758_20181030T181828_024369_02AB27_32F5.SAFE,2018-10-30T18:17:58Z,0,1,1,True,S1A_IW_SLC__1SDV_20181030T181758_20181030T181828_024369_02AB27_32F5,30.0,2
S1_S1A_IW_SLC__1SDV_20181031T235759_20181031T235826_024387_02ABCE_2AF4:scene,S1_S1A_IW_SLC__1SDV_20181031T235759_20181031T235826_024387_02ABCE_2AF4,deduplicated_global_s1,S1A_IW_SLC__1SDV_20181031T235759_20181031T235826_024387_02ABCE_2AF4,Global_S1,2018-10-31,2018-10-31T23:57:59Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20181031T235759_20181031T235826_024387_02ABCE_2AF4.SAFE,2018-10-31T23:57:59Z,0,1,1,True,S1A_IW_SLC__1SDV_20181031T235759_20181031T235826_024387_02ABCE_2AF4,30.0,1
S1_S1A_IW_SLC__1SDV_20181031T235824_20181031T235851_024387_02ABCE_8A7F:scene,S1_S1A_IW_SLC__1SDV_20181031T235824_20181031T235851_024387_02ABCE_8A7F,deduplicated_global_s1,S1A_IW_SLC__1SDV_20181031T235824_20181031T235851_024387_02ABCE_8A7F,Global_S1,2018-10-31,2018-10-31T23:58:24Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20181031T235824_20181031T235851_024387_02ABCE_8A7F.SAFE,2018-10-31T23:58:24Z,0,1,1,True,S1A_IW_SLC__1SDV_20181031T235824_20181031T235851_024387_02ABCE_8A7F,30.0,1
S1_S1A_IW_SLC__1SDV_20181102T224536_20181102T224603_024415_02ACCD_518F:scene,S1_S1A_IW_SLC__1SDV_20181102T224536_20181102T224603_024415_02ACCD_518F,deduplicated_global_s1,S1A_IW_SLC__1SDV_20181102T224536_20181102T224603_024415_02ACCD_518F,Global_S1,2018-11-02,2018-11-02T22:45:36Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20181102T224536_20181102T224603_024415_02ACCD_518F.SAFE,2018-11-02T22:45:36Z,0,1,1,True,S1A_IW_SLC__1SDV_20181102T224536_20181102T224603_024415_02ACCD_518F,30.0,1
S1_S1A_IW_SLC__1SDV_20181122T114534_20181122T114601_024700_02B757_C38C:scene,S1_S1A_IW_SLC__1SDV_20181122T114534_20181122T114601_024700_02B757_C38C,deduplicated_global_s1,S1A_IW_SLC__1SDV_20181122T114534_20181122T114601_024700_02B757_C38C,Global_S1,2018-11-22,2018-11-22T11:45:34Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20181122T114534_20181122T114601_024700_02B757_C38C.SAFE,2018-11-22T11:45:34Z,0,1,1,True,S1A_IW_SLC__1SDV_20181122T114534_20181122T114601_024700_02B757_C38C,30.0,4
S1_S1A_IW_SLC__1SDV_20181124T235823_20181124T235850_024737_02B8A0_9853:scene,S1_S1A_IW_SLC__1SDV_20181124T235823_20181124T235850_024737_02B8A0_9853,deduplicated_global_s1,S1A_IW_SLC__1SDV_20181124T235823_20181124T235850_024737_02B8A0_9853,Global_S1,2018-11-24,2018-11-24T23:58:23Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20181124T235823_20181124T235850_024737_02B8A0_9853.SAFE,2018-11-24T23:58:23Z,0,1,1,True,S1A_IW_SLC__1SDV_20181124T235823_20181124T235850_024737_02B8A0_9853,30.0,4
S1_S1A_IW_SLC__1SDV_20181214T034348_20181214T034415_025016_02C244_FD6C:scene,S1_S1A_IW_SLC__1SDV_20181214T034348_20181214T034415_025016_02C244_FD6C,deduplicated_global_s1,S1A_IW_SLC__1SDV_20181214T034348_20181214T034415_025016_02C244_FD6C,Global_S1,2018-12-14,2018-12-14T03:43:48Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20181214T034348_20181214T034415_025016_02C244_FD6C.SAFE,2018-12-14T03:43:48Z,0,1,1,True,S1A_IW_SLC__1SDV_20181214T034348_20181214T034415_025016_02C244_FD6C,30.0,1
