obs_id,area,date,planet_acquired,points,point_coordinates,before_name,before_start,before_delta_h,before_coverage_ratio,before_candidate_count,before_rejection_reason,before_download_group_key,after_name,after_start,after_delta_h,after_coverage_ratio,after_candidate_count,after_rejection_reason,after_download_group_key,aoi_buffer_km,coverage_threshold,notes
MERIA_SA_001,Durban,2019-04-24,2019-04-24 07:38:41 UTC to 2019-04-24 08:03:38 UTC,3,30.05082° S 31.06103° E; 30.04690° S 31.06240° E; 30.04458° S 31.06228° E,S1A_IW_SLC__1SDV_20190421T163724_20190421T163751_026890_030629_56F9.SAFE,2019-04-21 16:37:24 UTC,-63.44 to -63.02,1.000,10,-,S1A_IW_SLC__1SDV_20190421T163724_20190421T163751_026890_030629_56F9,S1B_IW_SLC__1SDV_20190425T031055_20190425T031122_015957_01DFC7_4905.SAFE,2019-04-25 03:10:55 UTC,+19.12 to +19.54,0.880,18,-,S1B_IW_SLC__1SDV_20190425T031055_20190425T031122_015957_01DFC7_4905,5.0,0.75,User-verified PlanetScope debris locations for 24 April 2019.
MERIA_SA_002,Durban,2019-04-25,2019-04-25 07:36:26 UTC to 2019-04-25 08:02:15 UTC,11,29.86819° S 31.28934° E; 29.87193° S 31.28582° E; 29.87544° S 31.28333° E; 29.81446° S 31.25668° E; 29.81960° S 31.25485° E; 29.80614° S 31.25855° E; 29.78647° S 31.26796° E; 29.78546° S 31.26920° E; 29.77852° S 31.27658° E; 29.81085° S 31.25767° E; 29.73844° S 31.31677° E,S1B_IW_SLC__1SDV_20190425T031055_20190425T031122_015957_01DFC7_4905.SAFE,2019-04-25 03:10:55 UTC,-4.86 to -4.43,0.773,10,-,S1B_IW_SLC__1SDV_20190425T031055_20190425T031122_015957_01DFC7_4905,S1B_IW_SLC__1SDV_20190427T163647_20190427T163717_015994_01E106_0A21.SAFE,2019-04-27 16:36:47 UTC,+56.58 to +57.01,1.000,13,-,S1B_IW_SLC__1SDV_20190427T163647_20190427T163717_015994_01E106_0A21,5.0,0.75,User-verified PlanetScope debris locations for 25 April 2019.
MERIA_SA_003,Durban,2022-04-14,2022-04-14 07:06:39 UTC to 2022-04-14 07:35:56 UTC,8,29° 34′ 14″ S 31° 16′ 06″ E; 29° 34′ 35″ S 31° 16′ 27″ E; 29° 41′ 58″ S 31° 15′ 24″ E; 29° 42′ 21″ S 31° 13′ 27″ E; 29° 47′ 11″ S 31° 13′ 31″ E; 29° 47′ 11″ S 31° 13′ 31″ E; 29° 49′ 30″ S 31° 10′ 27″ E; 29° 43′ 40″ S 31° 19′ 56″ E,S1A_IW_SLC__1SDV_20220405T163741_20220405T163808_042640_05165E_2627.SAFE,2022-04-05 16:37:41 UTC,-206.97 to -206.48,1.000,7,-,S1A_IW_SLC__1SDV_20220405T163741_20220405T163808_042640_05165E_2627,S1A_IW_SLC__1SDV_20220417T163741_20220417T163808_042815_051C3F_771A.SAFE,2022-04-17 16:37:41 UTC,+81.03 to +81.52,1.000,12,-,S1A_IW_SLC__1SDV_20220417T163741_20220417T163808_042815_051C3F_771A,5.0,0.75,After large amounts of flooding recorded on the 11th of April onwards. So we would expect to see plastic closer to shore on the 11th - 12th and then further out on the 14th which is seen in the planet images. Too much cloud cover during flood though. But visible debris patches across the area on the 14th out to sea.
MERIA_SA_004,Durban,2022-04-24,2022-04-24 07:24:24 UTC to 2022-04-24 07:59:14 UTC,3,29° 55′ 58″ S 31° 05′ 35″ E; 29° 55′ 33″ S 31° 05′ 40″ E; 29° 44′ 36″ S 31° 10′ 24″ E,S1A_IW_SLC__1SDV_20220420T032018_20220420T032045_042851_051D64_C340.SAFE,2022-04-20 03:20:18 UTC,-100.65 to -100.07,1.000,3,-,S1A_IW_SLC__1SDV_20220420T032018_20220420T032045_042851_051D64_C340,S1A_IW_SLC__1SDV_20220427T031152_20220427T031220_042953_0520BC_7F9D.SAFE,2022-04-27 03:11:52 UTC,+67.21 to +67.79,1.000,4,-,S1A_IW_SLC__1SDV_20220427T031152_20220427T031220_042953_0520BC_7F9D,5.0,0.75,Still visible debris long after the flood event happened. Could be a nice case to track the drift of the debris.
MERIA_SA_005,East London,2024-06-13,2024-06-13 07:29:05 UTC,2,32° 55′ 51″ S 28° 19′ 24″ E; 32° 54′ 17″ S 28° 21′ 10″ E,S1A_IW_SLC__1SDV_20240610T164532_20240610T164600_054263_0699BA_EE9B.SAFE,2024-06-10 16:45:32 UTC,-62.73,1.000,5,-,S1A_IW_SLC__1SDV_20240610T164532_20240610T164600_054263_0699BA_EE9B,S1A_IW_SLC__1SDV_20240615T165336_20240615T165404_054336_069C38_DBE9.SAFE,2024-06-15 16:53:36 UTC,+57.41,1.000,5,-,S1A_IW_SLC__1SDV_20240615T165336_20240615T165404_054336_069C38_DBE9,5.0,0.75,Flood was before the 4th of June but too much cloud cover until the 13th. Still visible on the 13th further out to sea.
MERIA_SA_006,East London,2024-06-06,2024-06-06 08:19:38 UTC to 2024-06-06 08:24:54 UTC,2,33° 13′ 47″ S 27° 35′ 45″ E; 33° 07′ 50″ S 27° 44′ 23″ E,S1A_IW_SLC__1SDV_20240603T165337_20240603T165405_054161_06962B_B3D0.SAFE,2024-06-03 16:53:37 UTC,-63.52 to -63.43,1.000,3,-,S1A_IW_SLC__1SDV_20240603T165337_20240603T165405_054161_06962B_B3D0,S1A_IW_SLC__1SDV_20240615T165336_20240615T165404_054336_069C38_DBE9.SAFE,2024-06-15 16:53:36 UTC,+224.48 to +224.57,1.000,2,-,S1A_IW_SLC__1SDV_20240615T165336_20240615T165404_054336_069C38_DBE9,5.0,0.75,Small section with no cloud cover - could be debris.
MERIA_SA_007,East London,2024-06-04,2024-06-04 08:21:19 UTC,1,33° 14′ 22″ S 27° 43′ 41″ E,S1A_IW_SLC__1SDV_20240603T165337_20240603T165405_054161_06962B_B3D0.SAFE,2024-06-03 16:53:37 UTC,-15.46,1.000,3,-,S1A_IW_SLC__1SDV_20240603T165337_20240603T165405_054161_06962B_B3D0,S1A_IW_SLC__1SDV_20240615T165336_20240615T165404_054336_069C38_DBE9.SAFE,2024-06-15 16:53:36 UTC,+272.54,1.000,2,-,S1A_IW_SLC__1SDV_20240615T165336_20240615T165404_054336_069C38_DBE9,5.0,0.75,Small section with no cloud cover - could be debris.
MERIA_SA_008,Gqeberha,2024-06-09,2024-06-09 08:32:17 UTC to 2024-06-09 08:34:34 UTC,2,33° 59′ S 25° 11′ E; 34° 03′ 49″ S 25° 26′ 35″ E,S1A_IW_SLC__1SDV_20240608T170143_20240608T170211_054234_0698B7_78BE.SAFE,2024-06-08 17:01:43 UTC,-15.55 to -15.51,1.000,5,-,S1A_IW_SLC__1SDV_20240608T170143_20240608T170211_054234_0698B7_78BE,S1A_IW_SLC__1SDV_20240620T170142_20240620T170210_054409_069EC5_00FD.SAFE,2024-06-20 17:01:42 UTC,+272.45 to +272.49,1.000,4,-,S1A_IW_SLC__1SDV_20240620T170142_20240620T170210_054409_069EC5_00FD,5.0,0.75,
MERIA_SA_009,Gqeberha,2026-05-09,2026-05-09 UTC day,12,"-34.19989000,24.89646000; -34.13494000,24.93180000; -34.07630000,25.07812000; -33.99885000,25.22645000; -34.01366000,25.28133000; -34.04977000,25.37187000; -34.06731000,25.39865000; -34.15352000,25.56755000; -34.10665000,25.65511000; -33.97153000,25.19461000; -33.81015000,26.09941000; -33.82079000,26.12668000",S1A_IW_SLC__1SDV_20260505T170121_20260505T170149_064384_081B8F_D1CF.SAFE,2026-05-05 17:01:21 UTC,-78.98,1.000,2,-,S1A_IW_SLC__1SDV_20260505T170121_20260505T170149_064384_081B8F_D1CF,S1A_IW_SLC__1SDV_20260510T170927_20260510T170955_064457_081E34_5419.SAFE,2026-05-10 17:09:27 UTC,+17.16,0.382,1,partial scene retained by all-scenes window policy,S1A_IW_SLC__1SDV_20260510T170927_20260510T170955_064457_081E34_5419,15.0,0.75,All relevant processable IW SLC acquisitions in 2026-05-06 to 2026-05-16 plus the 2026-05-05 full-coverage scene; scenes are processed independently; the adjacent 2026-05-05T170054 frame was excluded because AOI coverage was 0.000; Copernicus catalogue checked 2026-08-01.
