obs_id,obs_date,pt_count,item_ids,item_count,planet_acquired_start,planet_acquired_end,order_id,order_state,output_dir,downloaded_files,status,error
d9db6dd4-4db8-5723-96ba-57d182cda0b7,2018-10-28,14,,0,,,,,D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-28_d9db6dd4-4db8-5723-96ba-57d182cda0b7,,failed,Order 43c9d326-483c-4c42-a72b-0d6c6d51aa6d finished in state failed: Quota check failed - Over quota
cd77705c-782d-5b99-935f-405bfd905cbf,2018-10-26,15,,0,,,,,D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-26_cd77705c-782d-5b99-935f-405bfd905cbf,,failed,Order 81299560-0bc5-45d4-a337-f4d0e6808770 finished in state failed: Quota check failed - Over quota
