obs_id,obs_date,pt_count,item_ids,item_count,planet_acquired_start,planet_acquired_end,order_id,order_state,output_dir,downloaded_files,status,error
91ea9edc-67b4-4211-8532-35deec4a3148,2018-10-31,12,20181031_095847_0f43;20181031_095848_0f43;20181031_095850_0f43;20181031_095851_0f43;20181031_095852_0f43;20181031_095921_103b;20181031_095922_103b;20181031_095924_103b;20181031_095925_103b;20181031_095926_103b;20181031_100157_0f17;20181031_100158_0f17;20181031_100159_0f17;20181031_100200_0f17;20181031_100201_0f17;20181031_100202_0f17;20181031_100203_0f17;20181031_100204_0f17;20181031_100205_0f17;20181031_101434_0f36;20181031_101435_1_0f36;20181031_101435_0f36;20181031_101436_0f36;20181031_101437_0f36;20181031_101438_0f36;20181031_101439_0f36;20181031_101659_0f32;20181031_101700_0f32;20181031_101701_0f32;20181031_101702_0f32;20181031_101703_0f32;20181031_101704_0f32;20181031_101705_0f32;20181031_101706_0f32,34,2018-10-31T09:58:47.914692Z,2018-10-31T10:17:06.715086Z,,,D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148,D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\composite.tif;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\composite_udm2.tif;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\composite_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_101703_0f32_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_101659_0f32_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_101703_0f32_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_101439_0f36_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_101704_0f32_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_101659_0f32_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_101439_0f36_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_101701_0f32_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_101438_0f36_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_101701_0f32_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_101702_0f32_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_101702_0f32_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_101438_0f36_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_101700_0f32_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_101437_0f36_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_101700_0f32_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_101704_0f32_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_100201_0f17_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_101437_0f36_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_100200_0f17_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_100202_0f17_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_100201_0f17_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_100200_0f17_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_100205_0f17_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_101435_0f36_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_101435_0f36_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_101436_0f36_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_101436_0f36_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_100205_0f17_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_100203_0f17_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_100204_0f17_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_100202_0f17_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_100203_0f17_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_100204_0f17_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_095921_103b_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_095922_103b_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_095926_103b_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_095922_103b_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_095921_103b_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_095926_103b_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_100158_0f17_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_095925_103b_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_100159_0f17_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_100159_0f17_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_095925_103b_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_100158_0f17_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_100157_0f17_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_100157_0f17_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_095924_103b_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_095848_0f43_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_095848_0f43_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_095852_0f43_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_095851_0f43_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_095847_0f43_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_095851_0f43_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_095847_0f43_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_095850_0f43_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_095924_103b_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_095852_0f43_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\20181031_095850_0f43_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\manifest.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-31_91ea9edc-67b4-4211-8532-35deec4a3148\26914f6e-9fbf-441e-9d1c-8991041fe51e_order.json,already_downloaded,
57bbff03-21eb-54de-9d18-d8a65b256bd5,2018-10-20,3,20181020_095756_0f35;20181020_101712_0f36;20181020_101713_0f36,3,2018-10-20T09:57:56.910751Z,2018-10-20T10:17:13.644996Z,,,D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-20_57bbff03-21eb-54de-9d18-d8a65b256bd5,D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-20_57bbff03-21eb-54de-9d18-d8a65b256bd5\20181020_101712_0f36_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-20_57bbff03-21eb-54de-9d18-d8a65b256bd5\composite_udm2.tif;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-20_57bbff03-21eb-54de-9d18-d8a65b256bd5\20181020_101712_0f36_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-20_57bbff03-21eb-54de-9d18-d8a65b256bd5\composite_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-20_57bbff03-21eb-54de-9d18-d8a65b256bd5\20181020_095756_0f35_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-20_57bbff03-21eb-54de-9d18-d8a65b256bd5\composite.tif;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-20_57bbff03-21eb-54de-9d18-d8a65b256bd5\20181020_095756_0f35_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-20_57bbff03-21eb-54de-9d18-d8a65b256bd5\20181020_101713_0f36_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-20_57bbff03-21eb-54de-9d18-d8a65b256bd5\20181020_101713_0f36_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-20_57bbff03-21eb-54de-9d18-d8a65b256bd5\manifest.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-20_57bbff03-21eb-54de-9d18-d8a65b256bd5\4d675bf1-b0a6-4fb4-b07c-b85c07fcdc91_order.json,already_downloaded,
d9db6dd4-4db8-5723-96ba-57d182cda0b7,2018-10-28,14,,0,,,,,D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-28_d9db6dd4-4db8-5723-96ba-57d182cda0b7,,failed,HTTP Error 400: Bad Request
d918b4e9-16ac-5c30-830f-6945943e1d9e,2018-10-27,6,20181027_100038_0f51;20181027_100039_0f51;20181027_100040_0f51;20181027_100041_0f51;20181027_100237_1018;20181027_100238_1018;20181027_100239_1018;20181027_100240_1018;20181027_100241_1018;20181027_101907_0f2a;20181027_101908_0f2a;20181027_101909_0f2a,12,2018-10-27T10:00:38.062159Z,2018-10-27T10:19:09.678647Z,,,D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e,D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\composite_udm2.tif;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\20181027_100241_1018_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\composite_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\20181027_100241_1018_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\20181027_101907_0f2a_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\20181027_100240_1018_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\20181027_101907_0f2a_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\composite.tif;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\20181027_100240_1018_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\20181027_101909_0f2a_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\20181027_100239_1018_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\20181027_100239_1018_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\20181027_101909_0f2a_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\20181027_101908_0f2a_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\20181027_101908_0f2a_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\20181027_100238_1018_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\20181027_100237_1018_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\20181027_100039_0f51_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\20181027_100039_0f51_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\20181027_100041_0f51_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\20181027_100041_0f51_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\20181027_100038_0f51_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\20181027_100038_0f51_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\20181027_100040_0f51_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\20181027_100238_1018_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\20181027_100040_0f51_3B_AnalyticMS_metadata_clip.xml;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\20181027_100237_1018_metadata.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\manifest.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\33c27022-bcbf-4244-b7c0-265192523e11_order.json;D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-27_d918b4e9-16ac-5c30-830f-6945943e1d9e\511fcd2a-6368-426c-972c-15e6f02777c8_order.json,already_downloaded,
cd77705c-782d-5b99-935f-405bfd905cbf,2018-10-26,15,,0,,,,,D:\Masters\Ghana_Drift\planet_clipped_composites\2018-10-26_cd77705c-782d-5b99-935f-405bfd905cbf,,failed,Order 2e065367-92ac-4c1a-b086-2cc92d2898d3 finished in state failed
