date,sar_dir_name,scene_id,scene_time_utc,status,needs_drift,centroid_lon,centroid_lat,planet_quick_search_curl
2016-09-04,SAR_+7.9h,S1_16PCC_20160905T000626,2016-09-05 00:06:26+00:00,done,False,-89.112753,16.089057,"curl -u ""$PL_API_KEY:"" -X POST ""https://api.planet.com/data/v1/quick-search"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""filter"":{""type"":""AndFilter"",""config"":[{""type"":""GeometryFilter"",""field_name"":""geometry"",""config"":{""type"":""Point"",""coordinates"":[-89.112753,16.089057]}},{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2016-09-04T12:06:26Z"",""lte"":""2016-09-05T12:06:26Z""}}]},""sort"":[{""field_name"":""acquired"",""direction"":""asc""}],""limit"":1}'"
2018-04-20,SAR_+6.5h,S1_30VWH_20180420T175102,2018-04-20 17:51:02+00:00,done,False,-1.870664,56.720786,"curl -u ""$PL_API_KEY:"" -X POST ""https://api.planet.com/data/v1/quick-search"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""filter"":{""type"":""AndFilter"",""config"":[{""type"":""GeometryFilter"",""field_name"":""geometry"",""config"":{""type"":""Point"",""coordinates"":[-1.870664,56.720786]}},{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2018-04-20T05:51:02Z"",""lte"":""2018-04-21T05:51:02Z""}}]},""sort"":[{""field_name"":""acquired"",""direction"":""asc""}],""limit"":1}'"
2020-03-19,SAR_+7.6h,S1_18QYF_20200319T230134,2020-03-19 23:01:34+00:00,done,False,-73.127067,18.58851,"curl -u ""$PL_API_KEY:"" -X POST ""https://api.planet.com/data/v1/quick-search"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""filter"":{""type"":""AndFilter"",""config"":[{""type"":""GeometryFilter"",""field_name"":""geometry"",""config"":{""type"":""Point"",""coordinates"":[-73.127067,18.58851]}},{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2020-03-19T11:01:34Z"",""lte"":""2020-03-20T11:01:34Z""}}]},""sort"":[{""field_name"":""acquired"",""direction"":""asc""}],""limit"":1}'"
2020-09-15,SAR_+7.6h,S1_18QYF_20200915T230143,2020-09-15 23:01:43+00:00,done,False,-73.125785,18.58886,"curl -u ""$PL_API_KEY:"" -X POST ""https://api.planet.com/data/v1/quick-search"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""filter"":{""type"":""AndFilter"",""config"":[{""type"":""GeometryFilter"",""field_name"":""geometry"",""config"":{""type"":""Point"",""coordinates"":[-73.125785,18.58886]}},{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2020-09-15T11:01:43Z"",""lte"":""2020-09-16T11:01:43Z""}}]},""sort"":[{""field_name"":""acquired"",""direction"":""asc""}],""limit"":1}'"
2021-01-23,SAR_-4.6h,S1_18QYF_20210123T104743,2021-01-23 10:47:43+00:00,blocked,False,-73.594943,18.673499,"curl -u ""$PL_API_KEY:"" -X POST ""https://api.planet.com/data/v1/quick-search"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""filter"":{""type"":""AndFilter"",""config"":[{""type"":""GeometryFilter"",""field_name"":""geometry"",""config"":{""type"":""Point"",""coordinates"":[-73.594943,18.673499]}},{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2021-01-22T22:47:43Z"",""lte"":""2021-01-23T22:47:43Z""}}]},""sort"":[{""field_name"":""acquired"",""direction"":""asc""}],""limit"":1}'"
